name,website,email,phone,sectors,address,careers_page,description,region
Circle K,https://www.esso.ca/,,613-592-0683,Retail & Hospitality,"479 March Rd, Kanata, ON K2K 2M5",,Circle K Tech is the North American Innovation Centre for Circle K/Couche-Tard. Utilizing the latest technologies i...,Ottawa · Kanata North (ON)
Cisco Systems Inc,https://www.cisco.com/,,613-254-0000,"Computer Networking, Hardware","2000 Innovation Dr, Kanata, ON K2K 3E8",,"Cisco Systems, Inc. designs, manufactures, and sells Internet Protocol based networking and other products related ...",Ottawa · Kanata North (ON)
Claigan Environmental,https://www.claigan.com/,info@claigan.com,613-599-4444,"Manufacturing, Engineering, Industrial & System Design","10 Brewer Hunt Way #200, Kanata, ON K2K 2B5",,Claigan is one of the top companies in the field of environmental compliance of professional products. Claigan’s ex...,Ottawa · Kanata North (ON)
Cliniconex,https://cliniconex.com/,,613-271-5462,Hospital & Healthcare,"400 March Rd Suite 120, Kanata, ON K2K 3H4",,Our light-touch workflow engagement platform helps care providers automate communications and engagement to simplif...,Ottawa · Kanata North (ON)
CMC Microsystems,https://www.cmc.ca/,info@cmc.ca,613-530-4666,Semiconductors,"400 March Rd suite 110, Kanata, Ottawa, ON K2K 3H4, Canada",,CMC Microsystems is a not-for-profit organization accelerating research and innovation in advanced technologies. Fo...,Ottawa · Kanata North (ON)
Co-operators,https://www.cooperators.ca/,kanata_march@cooperators.ca,613-599-7232,Finance & Accounting,"591 March Rd, Kanata, ON K2K 2M5",,We’re a leading all-Canadian financial services co-operative deeply invested in helping Canadians build and grow th...,Ottawa · Kanata North (ON)
Cody Party Rentals & Balloon Design,https://www.codypartynepean.com/,nepean@codyparty.com,613-226-4780,Other,"101 Schneider Rd Unit 101, Kanata, ON K2K 1Y3",,This is where you will find everything that you need to make your next event a great one. Our full service party ce...,Ottawa · Kanata North (ON)
Collab Space,https://www.collabspace.ca/,info@collabspace.ca,613-319-2025,"Other, Real Estate","300 March Rd 4th Floor, Kanata, ON K2K 2E2",,"At Collab Space, we take a personal interest in the growth and success of every business. We don’t simply provide o...",Ottawa · Kanata North (ON)
Comfort Keepers,https://www.comfortkeepers.ca/ottawa/,,613-672-1888,Health & Wellness,"4019 Carling Ave, Kanata, ON K2K 2A3",,Comfort Keepers Peterborough provides a wide range of in-home senior care services for the surrounding areas. In-ho...,Ottawa · Kanata North (ON)
Comm2pO,https://www.comm2po.ca/en/,info@comm2po.com,858-568-5646,Management Consulting,"1000 Innovation Dr Suite 500, Kanata, ON K2K 3E7",,"Comm2pO ,whether you’re a small business or a large multinational enterprise, Comm2pO offers seamless solutions to ...",Ottawa · Kanata North (ON)
Communications Components Antennas Inc. (CCI),https://www.cciproducts.com/,sales@cciproducts.com,613-591-6696,"Telecommunications, Wireless & Photonics","88 Hines Rd, Kanata, ON K2K 2T8",,"CCI is a leading provider of innovative, cost effective, revenue increasing RF solutions for cellular (mobile) infr...",Ottawa · Kanata North (ON)
Compugen Inc.,https://www3.compugen.com/,marketing@compugen.com,613-591-2200,Information Technology & Services,"2500 Solandt Rd Suite 220, Kanata, ON K2K 3G5",,"Compugen, one of Canada's largest privately-owned and operated IT service providers, helps organizations realize ne...",Ottawa · Kanata North (ON)
"Constituency Office of Jenna Sudds, M.P.",https://jennasuddsmp.ca/,jenna.sudds@parl.gc.ca,613-592-3469,Other,"555 Legget Dr #121, Kanata, ON K2K 3B8",,"Since 2013, Jenna has been an integral part of the development of Kanata North, from serving as a founding director...",Ottawa · Kanata North (ON)
"Constituency Office of Karen McCrimmon, M.P.P.",https://mppkarenmccrimmon.ca/,kmccrimmon.mpp.co@liberal.ola.org,613-599-3000,Other,"555 Legget Dr, Kanata, ON K2K 3B8",,"She is the member of provincial parliament (MPP) for Kanata—Carleton and was elected in a by-election on July 27, 2...",Ottawa · Kanata North (ON)
Cora's Breakfast & Lunch,https://www.chezcora.com/en/breakfast-lunch-restaurants/cora-kanata,coraskanata@bellnet.ca,613-254-9892,Dining,"4055 Carling Ave, Kanata, ON K2K 2A4",,"Since opening her first restaurant in 1987, Cora has changed the eating habits of an entire generation. The main in...",Ottawa · Kanata North (ON)
Core Migration,http://www.coremigration.com/,info@CoreMigration.com,613-727-5051,"Computer Software, Information Technology & Services","350 Terry Fox Dr #220, Kanata, ON K2K 2P5",,"CORE Software Corporation developed the CORE Migration method in 1997. It combines a rigorous set of procedures, pr...",Ottawa · Kanata North (ON)
Corfix,https://www.corfix.com/,info@corfix.com,833-267-3491,"Computer Software, Construction, Renovation, & Other Home Services","62 Steacie Dr suite 201, Ottawa, Kanata, Ottawa, ON K2K 2A9, Canada",,Corfix puts your jobsite paperwork into an easy-to-use online database. It’s a revolutionary solution that offers e...,Ottawa · Kanata North (ON)
Cornerstone on Demand,https://www.cornerstoneondemand.com/,,613-270-1011,Computer Software,"495 March Rd Suite 100, Kanata, ON K2K 3G1",,Cornerstone OnDemand is a leading global provider of a comprehensive learning and talent management solution delive...,Ottawa · Kanata North (ON)
Crank Software Inc.,https://www.cranksoftware.com/,,613-595-1999,,"1000 Innovation Dr, Kanata, ON K2K 3E7",,Crank Software Inc. is an innovator in embedded user interface (UI) solutions. Compared to traditional electronic d...,Ottawa · Kanata North (ON)
CrossFit Closer,http://www.crossfitcloser.com/,info@crossfitcloser.com,613-599-9828,Health & Wellness,"103 Schneider Rd, Kanata, ON K2K 1Y3",,"We believe that no one is too old, too young, too overweight, or not strong enough to be considered an athlete. Our...",Ottawa · Kanata North (ON)
Crowe BGK,https://www.crowe.com/,croweweb@crowebgk.com,613-836-8228,Finance & Accounting,"400 March Rd Suite 420, Kanata, ON K2K 3H4",,"Founded in 1950, Crowe BGK LLP is a leading accounting and advisory services firm in Canada. Crowe BGK uses its dee...",Ottawa · Kanata North (ON)
Cyphercor Inc.,https://www.cyphercor.com,sales@cyphercor.com,877-564-4682,Software,"LL10-4043 Carling Avenue, Kanata ON K2K 2A4",,"Cyphercor is a leading smartphone-based two-factor authentication (2FA) provider. Cyphercor's flagship product, Log...",Ottawa · Kanata North (ON)
Cyto-Matrix Inc.,https://cytomatrix.ca/,info@cytomatrix.ca,613-599-1653,Health & Wellness,"300 March Rd, Kanata, ON K2K 2E2",,Cyto-Matrix is a professional natural health products company comprised of key associates having decades of experie...,Ottawa · Kanata North (ON)
Dafocom Solutions,https://dafocom.com/,sales@dafocom.com,613-518-0265,Cyber Security,"425 Legget Dr, Kanata, ON K2K 2W2",,We are aboriginal and minority-owned manufacturers of high-quality fiber optic and cybersecurity solutions. Located...,Ottawa · Kanata North (ON)
Daltco Electric and Supply (1979) Ltd.,https://www.daltco.com/locations/ottawa,kanata@daltco.com,613-592-5511,Electrical & Electrical Manufacturing,"93 Hines Rd, Ottawa, ON K2K 2M5",,"Daltco Electric is Eastern Ontario’s largest independent electrical distributor, offering residential, commercial a...",Ottawa · Kanata North (ON)
DataKinetics Ltd.,http://www.dkl.com/,info@dkl.com,613-523-5500,Computer Software,"50 Hines Rd unit 240, Kanata, Ottawa, ON K2K 2M5, Canada",,DataKinetics products and services drive exceptional new performance out of your mainframe to keep operational cost...,Ottawa · Kanata North (ON)
Debar Gold Ltd.,http://debargold.com/,info@debargold.com,613-592-0860,Hospital & Healthcare,"105 Schneider Rd #116, Kanata, Ottawa, ON K2K 1Y3, Canada",,"With over 40 years of experience in supplying dental professionals, our aim consists of bringing you the highest qu...",Ottawa · Kanata North (ON)
DEFSEC Technologies,https://defsectec.com/,products@defsectec.com,613-241-1849 ext. 102,"Defense, Security, & Aerospace",,,"DEFSEC Technologies operates across three core areas: less-lethal, digitization, and counter-threat capabilities, d...",Ottawa · Kanata North (ON)
Dell Technologies,https://www.dell.com/en-ca,,613-224-5995,Computer Hardware,"1000 Innovation Dr, Kanata, ON K2K 3E7",,We create technologies that drive human progress. We are among the world’s leading technology companies helping to ...,Ottawa · Kanata North (ON)
Deloitte,http://www.deloitte.ca/,,613-254-6899,Finance & Accounting,"515 Legget Dr #400, Kanata, ON K2K 3G4",,Deloitte drives progress. Our firms around the world help clients become leaders wherever they choose to compete. D...,Ottawa · Kanata North (ON)
Dentistry @ Kanata,http://www.dentistryatkanata.com/,dentristryatkanata@gmail.com,613-592-6665,Hospital & Healthcare,"329 March Rd # 209, Kanata, ON K2K 2E1",,"Welcome to the office of Kanata dentist, Dr. Ashfaq Ahmed, where our goal is to provide a dental home where you and...",Ottawa · Kanata North (ON)
Dentiza,https://dentiza.com/,info@dentiza.com,613-519-7540,Information Technology & Services,"1000 Innovation Drive suite 500, Kanata, Ottawa, Ontario K2K 3E7, Canada",,Dentiza® is an AI + Video powered Patient Relationship Manager (PRM) platform built for the dental healthcare indus...,Ottawa · Kanata North (ON)
DiabAi,https://diabai.ca/,info@diabai.ca,343-633-5545,Software,"1000 Innovation Dr #586, Kanata, Ottawa, Ontario K2K 3E7, Canada",,"At DiabAi, we are driven by a passionate commitment to revolutionize diabetes management and empower individuals li...",Ottawa · Kanata North (ON)
Differly Inc,https://www.differly.com/,Connect@Differly.com,(343) 342-1200,Management Consulting,,,Differly is a growth and innovation firm that helps businesses modernize and adopt the right tech so they can innov...,Ottawa · Kanata North (ON)
Dimensions Centre Inc,https://centre-dimensions.ca/,info@centre-dimensions.ca,(613)-592-3344,Health & Wellness,"309 Legget Drive suite 102, Kanata, ON K2K 3A3, Canada",,"We commit to provide an inclusive and affirming therapeutic environment for all, especially neuro-divergent childre...",Ottawa · Kanata North (ON)
DistillerSR,https://www.distillersr.com/,news@distillersr.com,613-212-0051,Artificial Intelligence,"505 March Rd Suite 450, Ottawa, ON K2K 3A4",,DistillerSR is the market leader in AI-enabled literature review automation software. More than 300 of the world’s ...,Ottawa · Kanata North (ON)
Dollarama,https://www.dollarama.com/en-CA/,,613-287-0112,Retail & Hospitality,"844 March Rd, Kanata, ON K2K 1X7",,"Dollarama is a Canadian dollar store operator offering a broad assortment of everyday consumer products, general me...",Ottawa · Kanata North (ON)
Dominion Dynamics,https://www.dominion-dynamics.com/,,,"Defense, Security, & Aerospace",,,"We believe tomorrow's military power won't hinge on exquisite platforms, but on the seamless coordination of adapta...",Ottawa · Kanata North (ON)
Douvris Martial Arts,https://kanata.douvris.com/,kanata@douvris.com,613-270-8886,Health & Wellness,"105 Schneider Rd Unit 124, Kanata, ON K2K 1Y3",,"We are devoted to cultivating the practise of karate Ottawa, supporting the pursuit of fitness, fostering kinship, ...",Ottawa · Kanata North (ON)
DPA Industries Inc. (DPA Gold),https://dpagold.com/,info@dpaindustries.com,613-591-9006,Consumer Goods,"105 Schneider Rd Unit 102, Kanata, ON K2K 1Y2",,DPA Industries Inc. provides comprehensive solutions to supply our premier omega-3 products to our business partner...,Ottawa · Kanata North (ON)
Dr. Susan Pella - Dentist,,drsusanpella@gmail.com,613-592-6850,Hospital & Healthcare,"300 March Rd, Kanata, ON K2K 2E2",,"Dr. Pella, Susan is a dentist who practices General Dentistry.",Ottawa · Kanata North (ON)
DRS Technologies Canada Ltd. (Leonardo DRS),https://www.leonardodrs.com/,rydaye@drs.ca,(613) 591-5800,"Defense, Security, & Aerospace","2500 Solandt Road #300, Kanata, Ontario K2K 3G5, Canada",,"DRS Technologies Canada Ltd., a subsidiary of Leonardo DRS, is a leading mid-tier Canadian defence electronics comp...",Ottawa · Kanata North (ON)
Dual Code Inc,https://www.dualcode.com/,info@dualcode.com,613-686-5873,Education & Day Care,"300 March Rd, Kanata, ON K2K 2E2",,"Dual Code Inc. is a Business-to-Business (B2B) eLearning service provider based in Ottawa, Canada. Dual Code design...",Ottawa · Kanata North (ON)
DZSi Canada,https://dzsi.com/,support@dzsi.com,,Telecommunications,"515 Legget Drive Suite 704, Ottawa, ON K2K 3G4",,"DZSI is a global leader of access, optical and cloud-controlled software defined solutions. Our software and networ...",Ottawa · Kanata North (ON)
Edge Gymnastics,https://gymnasticsedge.ca/,info@gymnasticsedge.ca,613-612-4595,Health & Wellness,,,Ottawa's Newest Gymnastics Facility located in Kanata North Business Area.,Ottawa · Kanata North (ON)
Edge Signal,https://www.edgesignal.io/,support@edgesignal.io,613-271-6305,"Data & Cloud Services, Software","390 March Rd suite 110, Kanata, ON K2K 0G7, Canada",,"Develop, onboard, manage, and operate edge infrastructure effortlessly and securely with Edge Signal. Industry 4...",Ottawa · Kanata North (ON)
Edgewater Computer Systems Inc.,https://edgewater.ca/,support@edgewater.ca,613-271-1101,"Telecommunications, Wireless & Photonics","50 Hines Rd Suite 200, Kanata, ON K2K 2M5",,"For nearly thirty years, Edgewater Computer Systems, Inc. (Edgewater) has applied superior techniques in analysis, ...",Ottawa · Kanata North (ON)
Edgewater Wireless Systems,https://edgewaterwireless.com/,IR@edgewaterwireless.com,613-271-3710,"Telecommunications, Wireless & Photonics","11 Hines Rd unit 202, Kanata, ON K2K 2X1, Canada",,Edgewater Wireless develops radio architecture for Wi-Fi that solves the issues of capacity and interference in Wi-...,Ottawa · Kanata North (ON)
Edward Jones Investments,https://www.edwardjones.ca/ca-en,,613-909-7349,Finance & Accounting,"1285 Teron Rd Suite 103, Kanata, ON K2K 0J7",,We're in your corner and around the corner. We specialize in helping individual investors in neighbourhood offices ...,Ottawa · Kanata North (ON)
Electronic Distributers International inc.  Dba EDI Inc.,https://ediinc.ca/,info@ediinc.ca,613-726-3699,Environmental Technology & Services,"359 Terry Fox Dr, Kanata, ON K2K 2E7",,EDI is one of Canadas most advanced and certified electronics recycling companies with a divers suite of services t...,Ottawa · Kanata North (ON)
Electronic Sales Professionals (ESP) Inc,http://www.espsales.com/contact.html,ESPOttawa@espsales.com,613-791-3877,Electrical & Electrical Manufacturing,"340 Legget Dr #105, Kanata, ON K2K 1Y6",,Electronics Sales Professionals (incorporated in 1992) is a Canadian representative for International manufacturers...,Ottawa · Kanata North (ON)
Electronics Test Care Centre,https://electronicstestcentre.ca/,info@etc-mpb.com,613-599-6800,Electrical & Electrical Manufacturing,"302 Legget Dr, Kanata, ON K2K 1Y5",,The Electronics Test Centres are EMI/EMC and Mechanical compliance test laboratories located in Ontario and Alberta...,Ottawa · Kanata North (ON)
Electronics4All,https://electronics4all.ca/,sales@electronics4all.ca,613-595-0303,"Manufacturing, Engineering, Industrial & System Design","250 Herzberg Road, Ottawa, ON, Canada",,"Electronics4All’s philosophy is to pursue niche markets in which products of the highest quality, reliability, and ...",Ottawa · Kanata North (ON)
Elite Dance Studio,https://elitedancestudio.ca/,elitedance@edsdance.com,613-592-5956,Art & Recreation,"101 Schneider Rd, Kanata, ON K2K 1Y3",,"Elite Dance Studio opened its doors in 1967, in Kanata, Ontario offering excellent training to students dancing for...",Ottawa · Kanata North (ON)
Enablence Technologies Inc.,https://www.enablence.com/,Sales-ENA@enablence.com,613-656-2850,"Telecommunications, Wireless & Photonics","390 March Rd, Kanata, ON K2K 0G7",,"Enablence is a leading vendor of innovative integrated optical products for the telecommunications, aerospace, and ...",Ottawa · Kanata North (ON)
Endosink Inc.,https://endosink.com/,eric@endosink.com,647-522-9336,"Manufacturing, Engineering, Industrial & System Design","106 Schneider Rd unit 3, Ottawa, ON, Canada",,"At Endosink, our mission is to revolutionize endoscope reprocessing by manufacturing innovative equipment that embo...",Ottawa · Kanata North (ON)
Enercom Canada Inc.,http://www.enercom.ca/,info@enercom.ca,613-271-2113,Clean Tech,"1000 Innovation Dr, Suite 500, Ottawa, ON K2K 3E7",,"Enercom Canada, is a recognized leader in providing Information Technology consulting and professional services in ...",Ottawa · Kanata North (ON)
Enterprise Mobility,https://www.enterprisemobility.com/en/index.html,,,,"515 Legget Drive, Ottawa, ON, Canada",,"Enterprise Mobility's portfolio includes car rental, fleet management, flexible vehicle hire, carsharing, vanpoolin...",Ottawa · Kanata North (ON)
Entrust,https://www.entrust.com/,,613-270-3400,Cyber Security,"2500 Solandt Rd Suite 100, Kanata, ON K2K 3G5",,"Entrust is a privately-owned software and credential company with over 2,000 employees. It provides identity-based ...",Ottawa · Kanata North (ON)
Epiphan Systems Inc.,http://www.epiphan.com/,info@epiphan.com,877-599-6581,Data & Cloud Services,"400 March Rd, Kanata, ON K2K 3H4",,We manufacture and develop award-winning AV hardware and cloud services that companies count on for a wide range of...,Ottawa · Kanata North (ON)
Ericsson Canada Inc.,https://www.ericsson.ca/fr,,613-963-8987,"Telecommunications, Wireless & Photonics","349 Terry Fox Dr, Kanata, ON K2K 2V6",,"Ericsson is a provider of technology and services to telecom operators. It offers 2G, 3G, and 4G mobile technologie...",Ottawa · Kanata North (ON)
eSAFE,https://www.esafe.org/en/field-evaluation/,field.evaluation@esafe.org,1800-559-5356,Cyber Security,"4043 Carling Ave Suite 106, Kanata, ON K2K 2A4",,e-Safe provides online data privacy and advice for those who own a website as well as an easy-to-use privacy disput...,Ottawa · Kanata North (ON)
Esprit-AI,https://esprit-ai.com/,info@esprit-ai.com,613-447-0726,Health & Wellness,"535 Legget Drive suite 106, Kanata, Ontario K2K 3B8, Canada",,"A proud recipient of Best New Business in 2023 at Esprit-ai, we are dedicated to helping seniors live longer, healt...",Ottawa · Kanata North (ON)
Esso 479 March Road,https://www.esso.ca/en-ca/,,613-592-0683,Retail & Hospitality,"479 March Rd, Kanata, ON K2K 2M5",,Esso is an oil and gas company.,Ottawa · Kanata North (ON)
Evik Diagnostics Innovations Inc.,https://www.evikdiagnostics.com/,info@evikdiagnostics.com,613-707-7771,Biotechnology,"105 Schneider Rd Suite 133, Kanata, ON K2K 1Y3",,"EVIK's DxSpheres are precise and solid spheres, each originating from a few microliters of liquid reagent mix. EVIK...",Ottawa · Kanata North (ON)
EyeDocs Kanata,https://eyedocsottawa.com/,kanata@eyedocsottawa.com,613-239-5005,Hospital & Healthcare,"700 March Rd, Kanata, ON K2K 2V9",,eyeDOCS offers full-service eye care to the residents of Ottawa and Eastern Ontario. Each of our five clinic locati...,Ottawa · Kanata North (ON)
Faces Magazine,https://facesmag.ca/,info@facesmag.ca,613-591-6093,Broadcast Media,"105 Schneider Road, Suite 101 Kanata, ON, K2K 1Y3",,"Faces Magazine is Ottawa’s premier monthly publication that showcases the people, places and events that make Ottaw...",Ottawa · Kanata North (ON)
Family Therapy and Counseling Services Ottawa,https://family-therapy.ca/,info@family-therapy.ca,613-287-3799,Health & Wellness,"4019 Carling Ave #202, Ottawa, ON K2K 2A3",,People seek out the extra support that therapy provides for many reasons. Some feel stuck and overwhelmed by a fami...,Ottawa · Kanata North (ON)
Farinella Kanata Inc.,https://www.farinellaeats.com/,FARINELLAINC@GMAIL.COM,613-592-7775,Dining,"806 March Rd Unit #1, Kanata, ON K2W 0C9",,Bringing Italy back to Ottawa’s Little Italy.,Ottawa · Kanata North (ON)
Farm Credit Canada (FCC) Kanata,http://www.fcc-fac.ca/,onkanata@fcc-fac.ca,613-271-7640,Finance & Accounting,"309 Legget Dr #102, Kanata, ON K2K 3A3",,"Farm Credit Canada, They don’t just serve and support Canadian agriculture, we’re a proud part of the industry. The...",Ottawa · Kanata North (ON)
Festival Promotions Inc.,https://festival.net/,,613-723-7868,Consumer Goods,"62 Steacie Dr Suite 100, Kanata, ON K2K 2A9",,FESTIVAL IS MORE THAN JUST A FINE SWAG PROVIDER We’re the company you love to work with. It’s in our DNA. Whether i...,Ottawa · Kanata North (ON)
Fidus Systems Inc,https://fidus.com/,,613-595-0507,"Manufacturing, Engineering, Industrial & System Design","555 Legget Dr Suite 800, Kanata, ON K2K 2X3",,"Fidus specializes in leading-edge electronic product development. Our hardware, software, FPGA, and signal integrit...",Ottawa · Kanata North (ON)
First Choice Hair Cutters,https://www.firstchoice.com/,,613-599-5698,Retail & Hospitality,"854 March Rd unit 3, Kanata, ON K2W 0C9",,,Ottawa · Kanata North (ON)
Fishburn Sheridan and Associates Ltd,https://fsaeng.com/,mail@fsaeng.com,613-831-7293,"Construction, Renovation, & Other Home Services","11 Hines Rd Suite 201, Ottawa, ON K2K 2X1",,"Fishburn Sheridan & Associates Ltd., private corporation established in 2001. Fishburn Sheridan & Associates Ltd. (...",Ottawa · Kanata North (ON)
Flex Fitness Studio and Spa,https://www.brookstreethotel.com/flex-fitness,info@brookstreet.com,613-271-3566,Health & Wellness,"525 Legget Dr, Kanata, ON K2K 2W2",,The ultimate Ottawa gym and fitness studio is right inside Brookstreet Hotel! Our fitness facilities come equipped ...,Ottawa · Kanata North (ON)
Flow Health and Performance,https://flowhealthandperformance.ca,info@flowhealthandperformance.ca,613-599-9828,Health & Wellness,"103 Schneider Rd, Ottawa, ON K2K 1Y3",,"FLOW Health & Performance specializes in injury prevention, rehabilitation, and optimization of health and performa...",Ottawa · Kanata North (ON)
FoxWise Technologies Inc.,https://foxwise.ca/,solutions@foxwise.ca,(613) 862-2122,Information Technology & Services,,,"Founded in 2000 and headquartered in the Nation’s Capital, FoxWise is a First Nation firm specializing in the provi...",Ottawa · Kanata North (ON)
FrancoLangues Inc.,https://francolangues.com/,info@francolangues.com,613-262-1822,Education & Day Care,"105 Schneider Rd ,Unit 114, Kanata, ON K2K 1Y3",,"French Language training and Exam center for Public servants, Private sector and General public. Kanata, Ottawa Fre...",Ottawa · Kanata North (ON)
Free Form Fitness Kanata,https://freeformfitness.ca/,KANATA@FREEFORMFITNESS.CA,613-270-0501,Health & Wellness,"105 Schnieder Rd, Kanata, ON, K2K 1Y3",,Free Form Fitness delivers an elite personal training experience using a proven scientific approach to shedding bod...,Ottawa · Kanata North (ON)
Freshii,https://www.freshii.com/ca/en-ca/home,guest@freshii.com,613-714-9896,Dining,"1106 Klondike Rd, Kanata, ON K2K 0G1",,Freshii is a health casual restaurant concept that serves fresh food designed to energize people on the go. The bra...,Ottawa · Kanata North (ON)
Fullscript,https://fullscript.com/,support@fullscript.com,866-807-3828,Software,"11 Hines Rd, Kanata, ON K2K 1X7",,Fullscript was the world’s first virtual supplement dispensary and is now a comprehensive platform that integrative...,Ottawa · Kanata North (ON)
Fusion Catering & Events,https://fusioncatering613.wixsite.com/fusion-catering,fusioncatering613@gmail.com,(613) 850-3831,"Catering, Dining",,,"At Fusion Catering & Events, we blend the essence of Indian flavors with global cuisines, offering exceptional gour...",Ottawa · Kanata North (ON)
G.R. Baird Financial Group Inc. / BairdBenefitsPlus,https://www.grbairdfinancial.com/,info@grbairdfin.com,613-599-6100,Finance & Accounting,"300 Terry Fox Dr #200, Kanata, ON K2K 0E3",,"At G. R. Baird Financial, the plans and strategies we deliver to our clients are formed by our commitment to deeply...",Ottawa · Kanata North (ON)
Gaming Kingdom,https://gaming-kingdom.com/,info@gaming-kingdom.com,613-254-9994,Retail & Hospitality,"700 March Rd, Kanata, ON K2K 2V9",,"Gaming Kingdom is located at 700 March Rd. in Kanata, Ontario Canada. We specialize in TCG as well as Retro Video G...",Ottawa · Kanata North (ON)
Ganex,https://www.ganex.com/,info@ganex.com,1-581-822-0999,Clean Tech,"1283 Teron Rd, Suite 101, Ottawa, Ontario K2K 0J7",,Ganex is a company with over two decades of experience in the renewable energy sector. They specialize in industria...,Ottawa · Kanata North (ON)
Garage Living,https://www.garageliving.com/f/ottawa,ottawa@garageliving.ca,613-224-9898,"Construction, Renovation, & Other Home Services","106 Schneider Rd Unit A, Ottawa, ON K2K 1Y2",,"Garage Living of Ottawa is a premium, full-service company specializing in all aspects of garage improvements. We t...",Ottawa · Kanata North (ON)
Gateway Dentistry,http://www.gatewaydentistry.ca/,info@gatewaydentistry.ca,613-591-7575,Hospital & Healthcare,"340 March Rd Suite #101, Kanata, ON K2K 2E4",,Gateway Dentistry is your “one-stop-clinic” for all of your dental needs in Kanata and the surrounding regions. We ...,Ottawa · Kanata North (ON)
GC Photonics Inc,https://gcphotonics.com/,info@gcphotonics.com,613-800-6139,"Telecommunications, Wireless & Photonics","300 Terry Fox, Suite 900, Kanata, ON, K2K 0E3",,GC Photonics provides innovative optical components and EDFA (Erbium Doped Fiber Amplifier) engineering service bas...,Ottawa · Kanata North (ON)
GEMTEC Consulting Engineers and Scientists Limited,https://www.gemtec.ca/,ottawa@gemtec.ca,613-836-1422,"Manufacturing, Engineering, Industrial & System Design","32 Steacie Dr, Kanata, ON K2K 2A9",,"GEMTEC has grown from a small New Brunswick geotechnical engineering, materials testing, and environmental engineer...",Ottawa · Kanata North (ON)
Genesislink Consulting Services,https://genesislink.ca/,info@genesislink.ca,343-809-8804,Management Consulting,"1000 Innovation Dr unit 564, Kanata, Ottawa, ON, Canada",,Genesislink is a leading consulting firm dedicated to empowering entrepreneurs and businesses to thrive in the dyna...,Ottawa · Kanata North (ON)
Genomadix,https://genomadix.com/,,613-228-7756,Life Sciences,"555 Legget Dr Suite 900, Kanata, ON K2K 3B8",,"Genomadix aims to revolutionize diagnostics—with fast, portable, and accurate DNA results. Genomadix’s diagnostic p...",Ottawa · Kanata North (ON)
Gilmore Global,https://www.gilmoreglobal.com/,info@gilmoreglobal.com,613-599-6065,E-Commerce,"120 Herzberg Rd, Kanata, ON K2K 3B7",,"We create custom content delivery solutions and strategies that fit your business. Collaborate with us for simpler,...",Ottawa · Kanata North (ON)
Gilmore Printing Services,https://gilmoreprinting.com/,gpssales@gilmore.ca,613-599-3776,Other,"110 Herzberg Rd, Kanata, ON K2K 3B7",,"Gilmore Printing Services Inc is a printing company based out of 110 Herzberg Rd, KANATA, ONTARIO, Canada.",Ottawa · Kanata North (ON)
Girones Lawyers,https://gironeslawyers.com/,agirones@gironeslaw.com,613-599-3535,Legal,"300 Terry Fox Dr #300, Kanata, ON K2K 0E3",,Experienced Personal Injury and Medical Malpractice Lawyers located in Ottawa Passionate about fighting for our cli...,Ottawa · Kanata North (ON)
Goodwill Staffing and Recruitment,https://goodwillstaffing.ca/,shannon@goodwillstaffing.ca,343-309-5318,Hospital & Healthcare,"300 Terry Fox Dr 900 1000 suite, Kanata, Ottawa, ON K2K 0E3, Canada",,"Goodwill Staffing & Recruitment is a proudly Canadian healthcare staffing agency headquartered in Kanata, Ontario. ...",Ottawa · Kanata North (ON)
GRC Concierge,https://www.grcconcierge.com/,info@grcconcierge.com,+1 855 546 8522,Cyber Security,,,"GRC Concierge is a white-glove Governance, Risk, and Compliance (GRC) services firm based in Kanata North, Ottawa’s...",Ottawa · Kanata North (ON)
Green Leaf Bubble Tea,https://greenleafkanata.com/,,613-216-9066,Dining,"591 March Rd #6, Kanata, Ottawa, ON K2K 2M5, Canada",,Green Leaf Bubble Tea is a drink and coffeehouse that serves an array of fruity and savoury beverages.,Ottawa · Kanata North (ON)
Grewal Law Firm,https://grewallawfirm.ca/,manraj@grewallawfirm.ca,613-261-9897,Legal,"300 March Rd Suite 302, Kanata, ON K2K 2E2",,"At Grewal Law Firm, we provide a straightforward approach to your family law matters. We educate our clients to und...",Ottawa · Kanata North (ON)
Harbin Chinese Restaurant,https://harbinchinesetogo.com/,,613-263-1586,Dining,"591 March Rd #5, Kanata, Ottawa, ON K2K 2M5, Canada",,A restaurant that serves authentic Northern Chinese food.,Ottawa · Kanata North (ON)
Health Canada,https://www.canada.ca/en/services/health.html,Info@hc-sc.gc.ca,866-225-0709,Life Sciences,"340 Legget Dr, Kanata, ON K2K 2A4",,Health Canada is the department of the Government of Canada responsible for national health policy. The department ...,Ottawa · Kanata North (ON)
Heart and Soul Kitchen,https://heartsoulkitchen.ca/,,613-296-4599,Dining,"101 Schneider Rd, Ottawa, ON K2K 1Y3",,Family owned and operated for over 25 years by Jim and Jodie Bowen. It started with a dream of a Gift shop add a Ca...,Ottawa · Kanata North (ON)
Heritage Childcare Center,https://heritageworld.ca/,,613-591-0761,Education & Day Care,"101 Schneider Rd, Kanata, ON K2K 1Y3",,"Our daycare centers service the Kanata, Arnprior, and Gatineau regions. We provide a first-rate daycare program for...",Ottawa · Kanata North (ON)
